feature,importance
time_0,454.5
value_0,2080.25
is_weekday_0,57.0
weather_0,875.5
time_1,352.25
value_1,1833.75
is_weekday_1,11.25
weather_1,540.5
time_2,463.75
value_2,1820.5
is_weekday_2,85.5
weather_2,476.0
time_3,291.5
value_3,1934.5
is_weekday_3,4.5
weather_3,435.75
time_4,150.25
value_4,1675.0
is_weekday_4,22.25
weather_4,387.0
time_5,185.75
value_5,1578.5
is_weekday_5,7.0
weather_5,403.0
time_6,205.25
value_6,1618.25
is_weekday_6,34.0
weather_6,349.5
time_7,165.5
value_7,1552.0
is_weekday_7,11.0
weather_7,407.25
time_8,178.5
value_8,1919.75
is_weekday_8,2.5
weather_8,387.0
time_9,194.5
value_9,1450.0
is_weekday_9,1.0
weather_9,383.25
time_10,137.75
value_10,1539.5
is_weekday_10,5.0
weather_10,336.25
time_11,216.0
value_11,1377.5
is_weekday_11,4.0
weather_11,367.0
time_12,153.5
value_12,1387.25
is_weekday_12,1.0
weather_12,301.0
time_13,88.25
value_13,1495.5
is_weekday_13,6.0
weather_13,315.75
time_14,107.25
value_14,1385.25
is_weekday_14,1.75
weather_14,314.0
time_15,109.25
value_15,1725.5
is_weekday_15,4.0
weather_15,313.0
time_16,81.0
value_16,1310.25
is_weekday_16,1.5
weather_16,363.5
time_17,97.0
value_17,1240.25
is_weekday_17,1.5
weather_17,331.75
time_18,65.75
value_18,1355.0
is_weekday_18,0.75
weather_18,376.0
time_19,104.5
value_19,1404.0
is_weekday_19,8.25
weather_19,286.75
time_20,82.75
value_20,1413.75
is_weekday_20,1.0
weather_20,267.5
time_21,127.25
value_21,1331.25
is_weekday_21,1.0
weather_21,320.75
time_22,85.5
value_22,1253.75
is_weekday_22,3.25
weather_22,273.5
time_23,234.25
value_23,1152.75
is_weekday_23,4.0
weather_23,306.75
time_24,95.5
value_24,1201.75
is_weekday_24,6.5
weather_24,314.75
time_25,90.0
value_25,1407.5
is_weekday_25,5.75
weather_25,372.75
time_26,158.25
value_26,1403.5
is_weekday_26,2.75
weather_26,292.75
time_27,318.25
value_27,1369.0
is_weekday_27,7.25
weather_27,274.25
time_28,282.5
value_28,1289.5
is_weekday_28,4.0
weather_28,291.5
time_29,295.75
value_29,1111.25
is_weekday_29,2.25
weather_29,253.25
time_30,468.75
value_30,1120.0
is_weekday_30,21.75
weather_30,212.75
time_31,500.5
value_31,1161.25
is_weekday_31,11.0
weather_31,256.75
time_32,199.75
value_32,1355.0
is_weekday_32,24.75
weather_32,278.5
time_33,293.0
value_33,1100.25
is_weekday_33,10.5
weather_33,332.5
time_34,262.5
value_34,1283.0
is_weekday_34,6.0
weather_34,286.75
time_35,335.5
value_35,1186.25
is_weekday_35,11.75
weather_35,286.5
time_36,539.0
value_36,1180.75
is_weekday_36,12.75
weather_36,255.75
time_37,205.75
value_37,1121.5
is_weekday_37,15.75
weather_37,315.0
time_38,187.0
value_38,1170.75
is_weekday_38,10.0
weather_38,315.0
time_39,271.75
value_39,1299.5
is_weekday_39,10.25
weather_39,241.75
time_40,208.5
value_40,1004.75
is_weekday_40,10.25
weather_40,252.0
time_41,247.75
value_41,960.25
is_weekday_41,11.75
weather_41,333.25
time_42,220.75
value_42,1060.25
is_weekday_42,9.75
weather_42,260.5
time_43,234.75
value_43,1142.0
is_weekday_43,7.5
weather_43,287.5
time_44,269.0
value_44,944.75
is_weekday_44,12.5
weather_44,365.0
time_45,213.25
value_45,1090.0
is_weekday_45,13.25
weather_45,336.25
time_46,218.75
value_46,1122.0
is_weekday_46,24.75
weather_46,280.25
time_47,248.25
value_47,1171.0
is_weekday_47,63.0
weather_47,368.5
time_48,238.5
value_48,1069.5
is_weekday_48,17.5
weather_48,260.0
time_49,425.25
value_49,1068.75
is_weekday_49,9.5
weather_49,217.0
time_50,276.5
value_50,1092.25
is_weekday_50,21.5
weather_50,321.25
time_51,402.75
value_51,1038.5
is_weekday_51,15.0
weather_51,277.0
time_52,304.25
value_52,1089.5
is_weekday_52,14.75
weather_52,267.5
time_53,294.5
value_53,1037.25
is_weekday_53,31.5
weather_53,348.75
time_54,322.75
value_54,1226.0
is_weekday_54,29.75
weather_54,207.25
time_55,463.0
value_55,1246.75
is_weekday_55,20.0
weather_55,314.25
time_56,413.25
value_56,1190.75
is_weekday_56,11.25
weather_56,370.75
time_57,384.0
value_57,1228.5
is_weekday_57,113.25
weather_57,315.25
time_58,238.5
value_58,1280.25
is_weekday_58,22.0
weather_58,358.5
time_59,225.75
value_59,1206.75
is_weekday_59,35.0
weather_59,345.0
time_60,267.5
value_60,1252.0
is_weekday_60,24.25
weather_60,313.0
time_61,278.75
value_61,1307.0
is_weekday_61,13.75
weather_61,314.0
time_62,232.0
value_62,1504.25
is_weekday_62,12.75
weather_62,326.75
time_63,350.0
value_63,1293.75
is_weekday_63,12.5
weather_63,310.0
time_64,486.75
