time,value,is_weekday,is_Sat,is_Sun,weather_cold,weather_warm,weather_hot,month
18.25,547.81175,True,False,False,1,0,0,2
18.5,679.99619,True,False,False,1,0,0,2
18.75,599.77294,True,False,False,1,0,0,2
19.0,542.03969,True,False,False,1,0,0,2
19.25,713.57513,True,False,False,1,0,0,2
19.5,586.215189999999,True,False,False,1,0,0,2
22.0,633.89531,True,False,False,1,0,0,2
22.25,696.89094,True,False,False,1,0,0,2
22.5,480.29419,True,False,False,1,0,0,2
22.75,615.45506,True,False,False,1,0,0,2
23.0,571.620939999999,True,False,False,1,0,0,2
23.25,418.55763,True,False,False,1,0,0,2
23.5,533.77538,True,False,False,1,0,0,2
23.75,454.69438,True,False,False,1,0,0,2
0.0,420.7835,True,False,False,1,0,0,2
0.25,597.76263,True,False,False,1,0,0,2
0.5,369.77909,True,False,False,1,0,0,2
0.75,486.9215,True,False,False,1,0,0,2
1.0,615.1925,True,False,False,1,0,0,2
1.25,391.05663,True,False,False,1,0,0,2
1.5,536.50881,True,False,False,1,0,0,2
1.75,460.88434,True,False,False,1,0,0,2
2.0,384.05634,True,False,False,1,0,0,2
2.25,560.80081,True,False,False,1,0,0,2
2.5,401.49447,True,False,False,1,0,0,2
2.75,463.41588,True,False,False,1,0,0,2
3.0,496.93144,True,False,False,1,0,0,2
3.25,538.14413,True,False,False,1,0,0,2
3.5,419.35866,True,False,False,1,0,0,2
3.75,634.35438,True,False,False,1,0,0,2
4.0,359.33653,True,False,False,1,0,0,2
4.25,553.11538,True,False,False,1,0,0,2
4.5,600.31425,True,False,False,1,0,0,2
4.75,415.78725,True,False,False,1,0,0,2
5.0,568.63263,True,False,False,1,0,0,2
5.25,633.402689999999,True,False,False,1,0,0,2
5.5,410.15331,True,False,False,1,0,0,2
5.75,540.68963,True,False,False,1,0,0,2
6.0,562.06181,True,False,False,1,0,0,2
6.25,412.25881,True,False,False,1,0,0,2
6.5,570.45625,True,False,False,1,0,0,2
6.75,521.49966,True,False,False,1,0,0,2
7.0,522.99838,True,False,False,1,0,0,2
7.25,670.94531,True,False,False,1,0,0,2
7.5,637.6395,True,False,False,1,0,0,2
7.75,563.782,True,False,False,1,0,0,2
8.0,588.675,True,False,False,1,0,0,2
8.25,582.88038,True,False,False,1,0,0,2
8.5,652.59481,True,False,False,1,0,0,2
8.75,772.75294,True,False,False,1,0,0,2
9.0,545.84325,True,False,False,1,0,0,2
9.25,722.5845,True,False,False,1,0,0,2
9.5,701.10963,True,False,False,1,0,0,2
9.75,492.121659999999,True,False,False,1,0,0,2
10.0,583.20119,True,False,False,1,0,0,2
10.25,530.70081,True,False,False,1,0,0,2
10.5,627.46106,True,False,False,1,0,0,2
10.75,650.00488,True,False,False,1,0,0,2
11.0,585.60825,True,False,False,1,0,0,2
11.25,603.667,True,False,False,1,0,0,2
11.5,734.65063,True,False,False,1,0,0,2
11.75,543.0175,True,False,False,1,0,0,2
12.0,659.93088,True,False,False,1,0,0,2
12.25,535.913,True,False,False,1,0,0,2
12.5,472.70763,True,False,False,1,0,0,2
12.75,662.67725,True,False,False,1,0,0,2
13.0,510.46444,True,False,False,1,0,0,2
13.25,493.69369,True,False,False,1,0,0,2
13.5,613.843,True,False,False,1,0,0,2
13.75,556.68594,True,False,False,1,0,0,2
14.0,586.63375,True,False,False,1,0,0,2
14.25,596.78694,True,False,False,1,0,0,2
14.5,480.07094,True,False,False,1,0,0,2
14.75,578.62,True,False,False,1,0,0,2
15.0,389.82734,True,False,False,1,0,0,2
15.25,451.22394,True,False,False,1,0,0,2
15.5,820.79325,True,False,False,1,0,0,2
15.75,556.0265,True,False,False,1,0,0,2
16.0,623.086439999999,True,False,False,1,0,0,2
16.25,444.39478,True,False,False,1,0,0,2
16.5,485.53044,True,False,False,1,0,0,2
16.75,781.09638,True,False,False,1,0,0,2
17.0,599.18456,True,False,False,1,0,0,2
17.25,630.95206,True,False,False,1,0,0,2
17.5,656.398939999999,True,False,False,1,0,0,2
17.75,529.1135,True,False,False,1,0,0,2
18.0,638.3765,True,False,False,1,0,0,2
18.25,555.12363,True,False,False,1,0,0,2
18.5,524.5635,True,False,False,1,0,0,2
18.75,682.593,True,False,False,1,0,0,2
19.0,522.53463,True,False,False,1,0,0,2
19.25,505.16625,True,False,False,1,0,0,2
19.5,671.27125,True,False,False,1,0,0,2
19.75,497.83313,True,False,False,1,0,0,2
20.0,631.92038,True,False,False,1,0,0,2
20.25,633.58338,True,False,False,1,0,0,2
20.5,508.99475,True,False,False,1,0,0,2
20.75,629.16206,True,False,False,1,0,0,2
21.0,642.31206,True,False,False,1,0,0,2
21.25,498.52319,True,False,False,1,0,0,2
21.5,633.85638,True,False,False,1,0,0,2
21.75,501.96156,True,False,False,1,0,0,2
22.0,494.79631,True,False,False,1,0,0,2
22.25,669.54475,True,False,False,1,0,0,2
22.5,457.62156,True,False,False,1,0,0,2
22.75,542.13525,True,False,False,1,0,0,2
23.0,333.71559,True,False,False,1,0,0,2
23.25,382.79803,True,False,False,1,0,0,2
23.5,322.28669,True,False,False,1,0,0,2
23.75,318.98363,True,False,False,1,0,0,2
0.0,323.2985,False,False,True,1,0,0,2
0.25,319.08347,False,False,True,1,0,0,2
0.5,329.86375,False,False,True,1,0,0,2
0.75,400.18056,False,False,True,1,0,0,2
1.0,419.50581,False,False,True,1,0,0,2
1.25,320.22594,False,False,True,1,0,0,2
1.5,342.37056,False,False,True,1,0,0,2
1.75,317.92138,False,False,True,1,0,0,2
2.0,318.066969999999,False,False,True,1,0,0,2
2.25,354.37481,False,False,True,1,0,0,2
2.5,329.72888,False,False,True,1,0,0,2
2.75,328.96875,False,False,True,1,0,0,2
3.0,313.09794,False,False,True,1,0,0,2
3.25,325.2135,False,False,True,1,0,0,2
3.5,322.95519,False,False,True,1,0,0,2
3.75,328.489,False,False,True,1,0,0,2
4.0,431.32916,False,False,True,1,0,0,2
4.25,389.272909999999,False,False,True,1,0,0,2
4.5,311.63278,False,False,True,1,0,0,2
4.75,322.192,False,False,True,1,0,0,2
5.0,323.260219999999,False,False,True,1,0,0,2
5.25,312.51775,False,False,True,1,0,0,2
5.5,328.79488,False,False,True,1,0,0,2
5.75,260.22375,False,False,True,1,0,0,2
6.0,292.85784,False,False,True,1,0,0,2
6.25,362.59263,False,False,True,1,0,0,2
6.5,259.17834,False,False,True,1,0,0,2
6.75,239.09359,False,False,True,1,0,0,2
7.0,318.11028,False,False,True,1,0,0,2
7.25,318.52,False,False,True,1,0,0,2
7.5,323.43419,False,False,True,1,0,0,2
7.75,269.06031,False,False,True,1,0,0,2
8.0,266.01463,False,False,True,1,0,0,2
8.25,356.04022,False,False,True,1,0,0,2
8.5,309.22228,False,False,True,1,0,0,2
8.75,272.24819,False,False,True,1,0,0,2
9.0,222.54342,False,False,True,1,0,0,2
9.25,289.61406,False,False,True,1,0,0,2
9.5,264.00491,False,False,True,1,0,0,2
9.75,279.04919,False,False,True,1,0,0,2
10.0,265.87019,False,False,True,1,0,0,2
10.25,278.1505,False,False,True,1,0,0,2
10.5,248.47483,False,False,True,1,0,0,2
10.75,146.58234,False,False,True,1,0,0,2
11.0,122.03063,False,False,True,1,0,0,2
11.25,97.50787,False,False,True,1,0,0,2
11.5,274.53228,False,False,True,1,0,0,2
11.75,179.01655,False,False,True,1,0,0,2
12.0,165.45264,False,False,True,1,0,0,2
12.25,135.111339999999,False,False,True,1,0,0,2
12.5,166.53414,False,False,True,1,0,0,2
12.75,156.82905,False,False,True,1,0,0,2
13.0,184.9862,False,False,True,1,0,0,2
13.25,208.53495,False,False,True,1,0,0,2
13.5,193.18269,False,False,True,1,0,0,2
13.75,200.644019999999,False,False,True,1,0,0,2
14.0,222.0787,False,False,True,1,0,0,2
14.25,204.95713,False,False,True,1,0,0,2
14.5,221.10391,False,False,True,1,0,0,2
14.75,220.73608,False,False,True,1,0,0,2
15.0,202.043559999999,False,False,True,1,0,0,2
15.25,232.10719,False,False,True,1,0,0,2
15.5,221.14348,False,False,True,1,0,0,2
15.75,247.1185,False,False,True,1,0,0,2
16.0,240.82852,False,False,True,1,0,0,2
16.25,236.19681,False,False,True,1,0,0,2
16.5,222.775799999999,False,False,True,1,0,0,2
16.75,240.39844,False,False,True,1,0,0,2
17.0,321.724909999999,False,False,True,1,0,0,2
17.25,290.16928,False,False,True,1,0,0,2
17.5,251.70853,False,False,True,1,0,0,2
17.75,250.47938,False,False,True,1,0,0,2
18.0,245.28667,False,False,True,1,0,0,2
18.25,244.66269,False,False,True,1,0,0,2
18.5,249.2457,False,False,True,1,0,0,2
18.75,221.55434,False,False,True,1,0,0,2
19.0,222.27498,False,False,True,1,0,0,2
19.25,248.76319,False,False,True,1,0,0,2
19.5,221.70697,False,False,True,1,0,0,2
19.75,221.53347,False,False,True,1,0,0,2
20.0,217.32513,False,False,True,1,0,0,2
20.25,225.72109,False,False,True,1,0,0,2
20.5,217.6173,False,False,True,1,0,0,2
20.75,228.97269,False,False,True,1,0,0,2
21.0,222.670529999999,False,False,True,1,0,0,2
21.25,223.70964,False,False,True,1,0,0,2
21.5,217.55959,False,False,True,1,0,0,2
21.75,228.77522,False,False,True,1,0,0,2
22.0,231.29209,False,False,True,1,0,0,2
22.25,225.32731,False,False,True,1,0,0,2
22.5,225.55942,False,False,True,1,0,0,2
22.75,222.22184,False,False,True,1,0,0,2
23.0,224.57406,False,False,True,1,0,0,2
23.25,222.202019999999,False,False,True,1,0,0,2
23.5,225.731329999999,False,False,True,1,0,0,2
23.75,220.97966,False,False,True,1,0,0,2
0.0,248.84966,False,True,False,1,0,0,2
0.25,222.15819,False,True,False,1,0,0,2
0.5,227.96131,False,True,False,1,0,0,2
0.75,243.08098,False,True,False,1,0,0,2
1.0,226.46806,False,True,False,1,0,0,2
1.25,233.7555,False,True,False,1,0,0,2
